unlist.a.,unlist.b.,unlist.c.,unlist.d.,Freq,anio,codigo
algarrobo ,no,1991,mujer,12,2006,5602
alto hospicio ,no,2000,mujer,73,2006,1107
alto hospicio ,no,2004,mujer,36,2006,1107
alto hospicio ,no,2000,hombre,146,2006,1107
alto hospicio ,no,1989,hombre,74,2006,1107
alto hospicio ,no,1977,mujer,73,2006,1107
alto hospicio ,no,2006,hombre,61,2006,1107
antofagasta ,no,2001,mujer,289,2006,2101
antofagasta ,no,1987,mujer,322,2006,2101
antofagasta ,no,2003,mujer,327,2006,2101
antuco ,no,9999,hombre,6,2006,8302
antuco ,no,1991,hombre,5,2006,8302
antuco ,no,1938,hombre,5,2006,8302
antuco ,no,1991,mujer,5,2006,8302
arica ,no,1978,mujer,25,2006,15101
arica ,no,1948,hombre,244,2006,15101
arica ,no,1960,mujer,17,2006,15101
arica ,no,1954,mujer,35,2006,15101
arica ,no,1998,mujer,25,2006,15101
arica ,no,1958,mujer,258,2006,15101
arica ,no,1974,mujer,21,2006,15101
arica ,no,1993,mujer,253,2006,15101
arica ,no,1951,hombre,32,2006,15101
arica ,no,1980,mujer,17,2006,15101
arica ,no,1971,mujer,60,2006,15101
buin ,no,1989,hombre,66,2006,13402
cabildo ,no,2001,mujer,37,2006,5402
cabo de hornos ,no,1995,hombre,4,2006,12201
calama ,no,2006,mujer,246,2006,2201
calama ,no,1980,hombre,152,2006,2201
calama ,no,1974,mujer,152,2006,2201
calama ,no,9999,mujer,2,2006,2201
calama ,no,1940,mujer,1,2006,2201
calbuco ,no,1990,mujer,35,2006,10102
calbuco ,no,1960,mujer,35,2006,10102
calbuco ,no,1994,mujer,36,2006,10102
calbuco ,no,1994,hombre,36,2006,10102
calbuco ,no,1999,mujer,68,2006,10102
calbuco ,no,1993,hombre,106,2006,10102
caldera ,no,2004,mujer,22,2006,3102
calera de tango ,no,1944,mujer,17,2006,13403
camarones ,no,1995,mujer,3,2006,15102
camarones ,no,1999,mujer,5,2006,15102
camiña ,no,2006,mujer,2,2006,1402
camiña ,no,1986,mujer,2,2006,1402
camiña ,no,2005,mujer,3,2006,1402
camiña ,no,1996,mujer,4,2006,1402
camiña ,no,9999,mujer,1,2006,1402
camiña ,no,1998,mujer,2,2006,1402
cañete ,no,1996,mujer,103,2006,8203
carahue ,no,2000,hombre,29,2006,9102
carahue ,no,1989,hombre,25,2006,9102
cartagena ,no,2003,mujer,27,2006,5603
cartagena ,no,1998,mujer,30,2006,5603
casablanca ,no,1992,hombre,35,2006,5102
castro ,no,1980,mujer,29,2006,10201
castro ,no,2001,mujer,47,2006,10201
castro ,no,1990,hombre,65,2006,10201
castro ,no,2001,hombre,47,2006,10201
castro ,no,1972,mujer,66,2006,10201
cerrillos ,no,2005,mujer,83,2006,13102
